Processes: 469 total, 2 running, 467 sleeping, 1681 threads 
2021/10/11 12:21:56
Load Avg: 1.17, 1.69, 1.89 
CPU usage: 3.42% user, 11.64% sys, 84.93% idle 
SharedLibs: 283M resident, 38M data, 31M linkedit.
MemRegions: 81866 total, 2952M resident, 79M private, 764M shared.
PhysMem: 8110M used (2014M wired), 80M unused.
VM: 4088G vsize, 2321M framework vsize, 7430563(0) swapins, 8051695(0) swapouts.
Networks: packets: 2615435/4026M in, 3297311/1981M out.
Disks: 1430394/56G read, 634399/63G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS  COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
110   locationd        0.0  00:35.09 3     1   270    5404K  128K  1848K  110  1    sleeping  0[908]    0.00000 0.00000    205 132648   298    22571     8794      816148+   298213    143916+    5074    2586     0.0   20918     76410     _locationd             N/A    N/A   N/A   N/A   N/A   N/A  
236   mDNSResponderHel 0.0  00:01.52 3     1   39     1280K  0B    1008K  236  1    sleeping *0[1]      0.00000 0.00000    0   4359     126    49604+    24840+    26164+    25330+    28323+     19      13871+   0.0   11644     70241     root                   N/A    N/A   N/A   N/A   N/A   N/A  
5322  Telegram         0.0  01:26.24 40    10  1025   192M   516K  133M   5322 1    sleeping  0[479]    0.00000 0.00000    501 554012   8763   245716    43340     850549+   549719    565495+    1754    42324    0.0   28954     116167    smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
6068  mdworker_shared  0.0  00:00.12 4     1   50     1104K  0B    0B     6068 1    sleeping *0[1]      0.00000 0.00000    501 9266     153    600       258       1925      951       131        0       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
6064  CFNetworkAgent   0.0  00:00.03 3     1   52     2428K  0B    0B     6064 1    sleeping *0[1]      0.00000 0.00000    0   2534     149    179       62        1604      401       217        8       8        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
6036  mdworker_shared  0.0  00:00.58 4     1   50     1252K  0B    344K   6036 1    sleeping *0[1]      0.00000 0.00000    501 41426    153    1272      506       15498     5694      1322       0       1        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5997  clangd           0.0  00:00.35 4     0   17     18M    0B    6096K  5614 5614 sleeping *0[1]      0.00000 0.00000    501 8704     973    77        36        3447      166       779        0       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5982  com.apple.WebKit 0.0  00:00.18 3     1   84     5768K  0B    2936K  5982 1    sleeping  0[3]      0.00000 0.00000    501 6963     372    4196      1743      4911      3800      1187       57      7        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5963  com.apple.WebKit 0.0  00:02.45 3     1   97     79M    0B    15M    5963 1    sleeping  0[895]    0.00000 0.00000    501 43740    459    12926     5629      28424     32815     15316      311     73       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5962  com.apple.WebKit 0.0  00:00.61 4     1   99     32M    0B    10M    5962 1    sleeping  0[27]     0.00000 0.00000    501 26708    433    4597      1904      10153     6911      3674       38      27       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5961  MTLCompilerServi 0.0  00:00.08 2     1   21     8264K  0B    6484K  5961 1    sleeping  0[3]      0.00000 0.00000    501 4964     558    136       45        571       304       220        42      1        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5960  MTLCompilerServi 0.0  00:00.07 2     1   32     6416K  0B    3816K  5960 1    sleeping  0[5]      0.00000 0.00000    501 2684     158    150       44        695       306       216        70      1        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5959  com.apple.WebKit 0.0  00:11.86 4     1   144    115M   0B    12M    5959 1    sleeping  0[4009]   0.00000 0.00000    501 68430    488    45452     22454     100824    189406    67082      474     5530     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5958  com.apple.WebKit 0.0  00:07.77 4     1   102    169M   13M   13M    5958 1    sleeping  0[1758]   0.00000 0.00000    501 90347    735    22214     10179     103577    84898     39007      413     326      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5903  taskgated        0.0  00:00.02 2     0   22     936K   0B    256K   5903 1    sleeping *0[1]      0.00000 0.00000    0   1143     105    75        29        736       194       138        1       1        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5893  com.apple.WebKit 0.0  00:01.14 4     1   99     63M    0B    58M    5893 1    sleeping *0[319]    0.00000 0.00000    501 34557    456    7795      3307      15926     15762     7350       270     102      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5892  com.apple.WebKit 0.0  00:38.64 4     1   102    487M   0B    486M   5892 1    sleeping *0[7586]   0.00000 0.00000    501 328342   478    91035     44563     113071    228749    90285      339     4182     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5889  com.apple.WebKit 0.0  00:10.75 4     1   100    153M   0B    133M   5889 1    sleeping  0[2360]   0.00000 0.00000    501 118323   1124   34349     17369     101892    116672    49234      412     308      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5888  com.apple.WebKit 0.0  00:07.82 4     1   99     177M   0B    175M   5888 1    sleeping *0[2485]   0.00000 0.00000    501 110761   1273   26931     12861     66087     85808     33854      485     155      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5887  com.apple.WebKit 0.0  00:01.39 4     1   99     97M    0B    96M    5887 1    sleeping  0[77]     0.00000 0.00000    501 46067    443    6200      2375      15998     13489     6627       46      80       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5865  MTLCompilerServi 0.0  00:00.20 2     1   32     6776K  0B    6736K  5865 1    sleeping  0[2]      0.00000 0.00000    501 4017     161    132       40        710       285       729        538     0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5864  MTLCompilerServi 0.0  00:00.05 2     1   24     6324K  0B    6308K  5864 1    sleeping  0[2]      0.00000 0.00000    501 4077     558    128       43        550       297       208        36      2        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5863  MTLCompilerServi 0.0  00:00.06 2     1   32     5572K  0B    5536K  5863 1    sleeping  0[3]      0.00000 0.00000    501 2501     158    140       42        685       297       269        52      0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5860  com.apple.WebKit 0.0  00:15.29 4     1   112    118M   12M   23M    5860 1    sleeping  0[8077]   0.00000 0.00000    501 154239   476    84019     37598     159175    215622    92434      301     901      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5858  com.apple.WebKit 0.0  00:01.29 4     1   92     94M    0B    93M    5858 1    sleeping  0[60]     0.00000 0.00000    501 42945    380    4884      2166      13941     14876     5214       7       62       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5856  com.apple.WebKit 0.0  00:03.09 4     1   99     118M   0B    116M   5856 1    sleeping  0[86]     0.00000 0.00000    501 83511    407    6944      3172      31834     24179     12506      932     44       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5794  clangd           0.0  00:08.49 4     0   17     30M    0B    9832K  5614 5614 sleeping *0[1]      0.00000 0.00000    501 59075    973    326       161       104522    716       11172      0       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5675  MTLCompilerServi 0.0  00:00.12 2     1   21     8100K  0B    8084K  5675 1    sleeping  0[2]      0.00000 0.00000    501 5227     558    130       43        559       298       381        72      0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5674  MTLCompilerServi 0.0  00:00.06 2     1   32     5080K  0B    5040K  5674 1    sleeping  0[3]      0.00000 0.00000    501 3013     158    145       42        803       294       149        49      0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5667  jcef Helper      0.0  00:00.10 7     1   72     12M    0B    11M    5614 5614 sleeping *0[1]      0.00000 0.00000    501 7172     2069   657       474       1536      1498      1697       0       61       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5665  VTEncoderXPCServ 0.0  00:00.14 2     1   62     7784K  0B    7280K  5665 1    sleeping  0[4]      0.00000 0.00000    501 11405    168    5129      2084      3564      3632      491        15      2        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5661  jcef Helper      0.0  00:00.28 7     1   86     18M    0B    17M    5614 5614 sleeping *0[1]      0.00000 0.00000    501 10645    2074   2662      2001      8104      4569      2254       0       63       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5659  VTDecoderXPCServ 0.0  00:00.14 2     1   66     9904K  0B    9380K  5659 1    sleeping  0[16]     0.00000 0.00000    501 4368     177    1597      640       4039      1515      565        11      2        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5645  fsnotifier       0.0  00:00.25 3     1   28     844K   0B    424K   5614 5614 sleeping *0[1]      0.00000 0.00000    501 7053     97     3901      38        11468     11095     2762       0       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5584  mdworker         0.0  00:01.37 2     1   48     1308K  0B    952K   5584 1    sleeping *0[1]      0.00000 0.00000    501 4598     166    211       58        66251     455       3369       0       6        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5555  LocalAuthenticat 0.0  00:00.43 3     1   188    7748K  0B    5908K  5555 1    sleeping  0[280]    0.00000 0.00000    501 8859     277    4460      1143      6642      10219     4755       23      72       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5544  QuickLookUIServi 0.0  00:00.18 3     1   138    2848K  0B    1484K  5544 1    sleeping  0[265]    0.00000 0.00000    501 5307     248    2283      529       3137      6478      3174       0       65       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5543  com.apple.appkit 0.0  00:00.77 3     1   199    13M    0B    11M    5543 1    sleeping  0[274]    0.00000 0.00000    501 15020    403    5866      1864      18348     10298     5664       22      72       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5539  XprotectService  0.0  00:00.05 2     1   36     3856K  0B    3816K  5539 1    sleeping  0[1]      0.00000 0.00000    501 3003     153    152       47        869       327       210        6       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5538  Preview          0.0  00:29.04 6     2   324    55M    928K  22M    5538 1    sleeping *0[826]    0.00000 0.00000    501 567148   640    303959    70058     171648    698254    197725     1716    2361     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5537  PlugInLibrarySer 0.0  00:00.00 2     1   20     544K   0B    528K   5537 1    sleeping  0[1]      0.00000 0.00000    501 679      100    112       37        408       210       68         20      0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5536  CoreServicesUIAg 0.0  00:00.18 3     1   191    4664K  0B    3480K  5536 1    sleeping  0[36]     0.00000 0.00000    501 7367     275    1646      372       3489      3963      2126       31      24       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5504  cfprefsd         0.0  00:01.57 2     1   139    980K   32K   136K   5504 1    sleeping  0[752]    0.00000 0.00000    501 4933     85     7463      2141      50639     10097     9736       0       146      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5482  PlugInLibrarySer 0.0  00:00.00 2     1   23     572K   0B    556K   5482 1    sleeping  0[1]      0.00000 0.00000    501 696      100    123       38        423       237       62         0       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5454  VTDecoderXPCServ 0.0  00:00.21 2     1   68     15M    0B    15M    5454 1    sleeping  0[21]     0.00000 0.00000    501 14163    181    3272      1345      11495     2903      1104       18      11       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5453  com.apple.audio. 0.0  00:00.01 2     1   23     792K   0B    776K   5453 1    sleeping  0[2]      0.00000 0.00000    501 1055     120    117       40        569       231       74         23      1        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5406  com.apple.WebKit 0.0  00:00.23 4     1   99     5908K  0B    4808K  5406 1    sleeping  0[100]    0.00000 0.00000    501 19781    360    4952      2145      4264      6415      2140       28      61       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5395  com.apple.WebKit 0.0  00:17.26 3     1   97     122M   0B    57M    5395 1    sleeping  0[7458]   0.00000 0.00000    501 170504   433    58820     25531     279119    221862    108235     862     974      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5393  com.apple.WebKit 0.0  00:21.13 4     1   102    148M   0B    37M    5393 1    sleeping  0[3307]   0.00000 0.00000    501 302098   1553   48391     25709     314995    219025    111119     1436    1085     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5384  ssh-agent        0.0  00:00.03 1     0   21     652K   0B    636K   5384 1    sleeping *0[1]      0.00000 0.00000    501 744      126    93        31        463       187       85         0       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5375  zsh              0.0  00:00.62 1     0   21     1376K  0B    492K   5375 5374 sleeping *0[1]      0.00000 0.00000    501 12450    5235   259       118       30474     334       3690       2       0        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5374  login            0.0  00:00.05 2     1   31     1300K  0B    1284K  5374 5373 sleeping *0[9]      0.00000 0.00000    0   1847     203    126       31        20821     252       363        3       0        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5373  Terminal         0.0  00:58.38 14    8   369    71M    41M   12M    5373 1    sleeping *0[547]    0.00000 0.00000    501 1469758  558    186657    40490     434599    474820    174957     2292    5616     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5369  com.apple.WebKit 0.0  00:30.71 4     1   104    186M   0B    151M   5369 1    sleeping  0[9091]   0.00000 0.00000    501 196738   503    91956     44044     298974    351929    158506     655     1491     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5325  iOSScreenCapture 0.0  00:00.08 3     1   36     1624K  0B    1592K  5325 1    sleeping *0[1]      0.00000 0.00000    0   2236     248    96        36        792       224       149        0       0        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5310  com.apple.WebKit 0.0  00:01.43 6     1   273    9784K  88K   4904K  5310 1    sleeping  0[65]     0.00000 0.00000    501 15183    234    4662      1907      29535     18714     13169      48      405      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5309  com.apple.WebKit 0.0  00:03.12 3     1   88     64M    0B    42M    5309 1    sleeping  0[1734]   0.00000 0.00000    501 64493    319    8833      4362      33462     27491     17540      5       229      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5307  com.apple.WebKit 0.0  00:12.66 3     1   85     204M   0B    137M   5307 1    sleeping  0[5691]   0.00000 0.00000    501 295611   305    39540     26491     142298    171518    72167      33      410      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5303  QuickLookUIServi 0.0  00:00.25 3     1   138    3216K  0B    1916K  5303 1    sleeping  0[343]    0.00000 0.00000    501 5142     248    2716      641       3618      7719      3607       0       79       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5302  com.apple.appkit 0.0  00:01.87 3     1   203    13M    0B    11M    5302 1    sleeping  0[359]    0.00000 0.00000    501 16248    399    6319      2046      14456     11840     8132       540     82       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5300  webinspectord    0.0  00:00.44 2     1   76     1328K  0B    580K   5300 1    sleeping  0[795]    0.00000 0.00000    501 3232     173    4846      1115      8068      7604      4283       4       3        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5299  com.apple.Safari 0.0  00:00.38 3     1   146    6316K  0B    4864K  5299 1    sleeping  0[359]    0.00000 0.00000    501 7512     283    2747      657       4118      7841      3546       4       76       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5298  sandboxd         0.0  00:01.09 4     2   65     1860K  0B    1528K  5298 1    sleeping *0[1]      0.00000 0.00000    0   29002    157    8090      3706      18270     8699      6446       853     579      0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5297  Session Pal Exte 0.0  00:00.51 3     1   157    3712K  0B    1824K  5297 1    sleeping  0[1197]   0.00000 0.00000    501 6757     295    5687      1338      7272      12518     5925       4       96       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5296  Grammarly Safari 0.0  00:10.25 6     1   254    26M    4096B 14M    5296 1    sleeping  0[129]    0.00000 0.00000    501 222992   483    103253    48123     167387    278560    79849      19      1736     0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5295  AdGuard Assistan 0.0  00:03.02 6     1   166    5352K  0B    2132K  5295 1    sleeping  0[990]    0.00000 0.00000    501 24147    460    11810     3664      79607     31392     22331      169     144      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5293  ImageIOXPCServic 0.0  00:03.89 2     1   32     4372K  0B    3204K  5293 1    sleeping  0[8020]   0.00000 0.00000    501 49485    243    53231     15268     54955     45887     22984      5       40       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5292  com.apple.WebKit 0.0  00:16.29 7     1   924    27M    12K   13M    5292 1    sleeping  0[141]    0.00000 0.00000    501 174581   236    55029     23239     418340    206429    187498     33978   846      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5289  Safari           0.0  02:33.57 7     1   1281   148M   928K  69M    5289 1    sleeping  0[1385]   0.00000 0.00000    501 835010   1802   1194768   394580    1776851   2956091   1116192    6371    19164    0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5272  MTLCompilerServi 0.0  00:00.29 2     1   25     6328K  0B    6312K  5272 1    sleeping  0[2]      0.00000 0.00000    0   5096     555    102       38        528       229       264        322     1        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5271  MTLCompilerServi 0.0  00:00.34 2     1   27     4608K  0B    4576K  5271 1    sleeping  0[3]      0.00000 0.00000    0   3957     155    104       37        779       204       352        500     1        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5250  adguard-connreso 0.0  00:00.15 2     1   37     2532K  0B    2060K  5250 5239 sleeping *0[1]      0.00000 0.00000    0   1969     83     93        33        4417      201       1065       3       4        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5249  PerfPowerService 0.0  00:07.09 3     1   264    7172K  256K  1968K  5249 1    sleeping *1[2]      0.00000 0.00000    0   35608    254    147732    73405     105711    109645    56966      680     240      0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
5248  netbiosd         0.0  00:00.12 2     1   23     900K   0B    784K   5248 1    sleeping *0[1]      0.00000 0.00000    222 2149     135    171       42        1361      332       454        2       16       0.0   0         0         _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
5239  adguard_service  0.0  00:42.26 18    1   96     63M    0B    25M    5239 482  sleeping *0[4]      0.00000 0.00000    501 89744    329    4175      1063      914429    45478     422313     666     434      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5237  eapolclient      0.0  00:00.11 3     1   56     1372K  0B    1340K  5237 74   sleeping *0[1]      0.00000 0.00000    501 1868     263    378       104       6276      918       578        16      1        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5203  com.apple.AppleU 0.0  00:00.02 2     1   75     1260K  0B    1244K  5203 1    sleeping  0[1]      0.00000 0.00000    270 912      128    248       123       559       252       148        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5202  com.apple.AppleU 0.0  00:00.01 2     1   75     764K   0B    748K   5202 1    sleeping  0[1]      0.00000 0.00000    270 787      128    243       116       552       247       149        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5201  com.apple.AppleU 0.0  00:00.01 2     1   77     844K   0B    824K   5201 1    sleeping  0[1]      0.00000 0.00000    270 811      128    270       133       555       269       184        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5200  com.apple.AppleU 0.0  00:00.02 2     1   75     736K   0B    728K   5200 1    sleeping  0[1]      0.00000 0.00000    270 801      128    418       185       558       373       218        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5199  com.apple.AppleU 0.0  00:00.28 2     1   76     868K   0B    496K   5199 1    sleeping  0[1]      0.00000 0.00000    270 921      128    7600      4477      2275      6399      2158       0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5198  com.apple.AppleU 0.0  00:35.77 2     1   76     916K   0B    524K   5198 1    sleeping  0[1]      0.00000 0.00000    270 1156     128    799312    479729    480238    321904    340319     0       48       0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5197  com.apple.AppleU 0.0  00:00.02 2     1   75     848K   0B    840K   5197 1    sleeping  0[1]      0.00000 0.00000    270 829      128    435       193       561       384       228        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5196  com.apple.AppleU 0.0  00:00.95 3     2   77     896K   0B    552K   5196 1    sleeping  0[1]      0.00000 0.00000    270 1426     128    17663     10526     11108     7408      7602       0       48       0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5195  com.apple.AppleU 0.0  00:00.03 2     1   75     900K   0B    892K   5195 1    sleeping  0[1]      0.00000 0.00000    270 847      128    476       213       566       428       230        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5194  com.apple.AppleU 0.0  00:00.05 2     1   76     916K   0B    580K   5194 1    sleeping  0[1]      0.00000 0.00000    270 1287     128    949       502       686       825       434        0       0        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5193  com.apple.AppleU 0.0  00:00.20 2     1   76     904K   0B    632K   5193 1    sleeping  0[1]      0.00000 0.00000    270 1301     128    4847      2851      1642      4111      1451       0       1        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5192  com.apple.AppleU 0.0  00:00.06 2     1   76     844K   0B    572K   5192 1    sleeping  0[1]      0.00000 0.00000    270 1296     128    1099      553       896       920       418        0       24       0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5191  com.apple.AppleU 0.0  00:00.04 2     1   75     872K   0B    864K   5191 1    sleeping  0[1]      0.00000 0.00000    270 846      128    491       229       599       415       191        0       1        0.0   0         0         _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
5181  aslmanager       0.0  00:00.08 2     1   13     324K   0B    312K   5181 1    sleeping *0[1]      0.00000 0.00000    0   414      68     51        25        200       113       410        18      0        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
4969  com.apple.cmio.r 0.0  00:00.00 2     1   25     532K   0B    524K   4969 1    sleeping  0[1]      0.00000 0.00000    0   538      80     85        34        337       179       82         0       0        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
3073  sysextd          0.0  00:00.04 2     1   33     1108K  0B    1100K  3073 1    sleeping  0[3]      0.00000 0.00000    0   1959     155    126       41        773       259       140        4       0        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
3072  universalAccessA 0.0  00:01.14 3     1   192    5088K  0B    3952K  3072 1    sleeping *0[97]     0.00000 0.00000    501 28054    261    9058      2518      6841      19895     10913      20      172      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
3062  distnoted        0.0  00:00.08 2     1   28     416K   0B    408K   3062 1    sleeping *0[1]      0.00000 0.00000    265 1872     83     550       427       2082      1029      638        0       0        0.0   0         0         _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
3040  lskdd            0.0  00:00.63 3     1   40     1156K  0B    944K   3040 1    sleeping *1[170]    0.00000 0.00000    265 8700     112    8171      3698      14998     5871      9227       2       3149     0.0   0         0         _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
3006  CoreSpotlightSer 0.0  00:00.85 4     2   45     3792K  0B    3384K  3006 1    sleeping  0[1]      0.00000 0.00000    501 24097    206    4102      2121      12628     5824      6113       628     135      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2947  USBAgent         0.0  00:00.08 2     1   29     860K   0B    852K   2947 1    sleeping  0[0]      0.00000 0.00000    501 3156     122    250       95        1044      511       962        16      12       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2937  applessdstatisti 0.0  00:00.01 2     1   35     748K   0B    740K   2937 1    sleeping *0[1]      0.00000 0.00000    0   961      137    141       58        524       249       80         5       0        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
2933  com.apple.siri.C 0.0  00:00.07 2     1   34     4092K  0B    4084K  2933 1    sleeping  0[3]      0.00000 0.00000    501 4097     270    233       62        1386      514       256        14      7        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2930  DPSubmissionServ 0.0  00:00.08 2     1   36     1316K  0B    1008K  2930 1    sleeping  0[0]      0.00000 0.00000    0   3732     136    197       122       1226      400       618        2       15       0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
2929  IMAutomaticHisto 0.0  00:00.15 2     1   65     1620K  0B    1276K  2929 1    sleeping  0[0]      0.00000 0.00000    501 6470     156    452       200       2195      1037      1715       27      33       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2902  coreautha        0.0  00:01.97 3     1   259    12M    0B    7800K  2902 1    sleeping *0[132]    0.00000 0.00000    501 41950    314    18896     3996      14376     39916     16701      66      231      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2675  DockHelper       0.0  00:01.86 3     1   209    10M    0B    8844K  2675 1    sleeping *0[117]    0.00000 0.00000    501 51629    1306   13777     3499      8886      29577     15307      34      194      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2429  OSDUIHelper      0.0  00:02.22 3     1   194    6820K  0B    5668K  2429 1    sleeping *0[369]    0.00000 0.00000    501 35587    286    30122     3536      18993     54873     23945      74      399      0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2427  com.apple.access 0.0  00:00.01 2     1   31     764K   0B    748K   2427 1    sleeping  0[12]     0.00000 0.00000    501 1198     101    217       75        699       391       200        0       4        0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
2420  accessoryd       0.0  00:00.28 2     1   49     1596K  0B    1252K  2420 1    sleeping *0[1]      0.00000 0.00000    0   6731     167    1465      487       2849      1871      1861       16      36       0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
2368  misagent         0.0  00:00.00 2     1   21     560K   0B    552K   2368 1    sleeping  0[6]      0.00000 0.00000    0   960      94     110       50        446       274       107        0       2        0.0   0         0         root                   N/A    N/A   N/A   N/A   N/A   N/A  
2232  WorldClockWidget 0.0  00:26.66 5     4   82     9864K  0B    4256K  2232 1    sleeping *1[27]     0.00000 0.00000    501 119861   1110   2936      1060      557313    10831     15732      2372    12       0.0   0         0         smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
